stream_type,detector,alpha,mean_false_alarms,std_false_alarms,max_false_alarms
gaussian,EADD,0.01,0.0,0.0,0
gaussian,D3(τ=0.6),0.6,11.4,1.9595917942265424,14
gaussian,D3(τ=0.7),0.7,0.2,0.4,1
gaussian,D3(τ=0.8),0.8,0.0,0.0,0
autocorrelated,EADD,0.01,0.0,0.0,0
autocorrelated,D3(τ=0.6),0.6,86.4,1.4966629547095764,88
autocorrelated,D3(τ=0.7),0.7,58.8,0.9797958971132711,60
autocorrelated,D3(τ=0.8),0.8,16.8,2.3151673805580453,19
heteroscedastic,EADD,0.01,3.2,0.9797958971132712,5
heteroscedastic,D3(τ=0.6),0.6,12.6,4.17612260356422,19
heteroscedastic,D3(τ=0.7),0.7,0.2,0.4,1
heteroscedastic,D3(τ=0.8),0.8,0.0,0.0,0
correlated,EADD,0.01,0.0,0.0,0
correlated,D3(τ=0.6),0.6,11.0,3.794733192202055,17
correlated,D3(τ=0.7),0.7,0.2,0.4,1
correlated,D3(τ=0.8),0.8,0.0,0.0,0
