drift_type,detector,n_detections,mtd,mdr,false_alarms,time_s
Abrupt Drift,EADD,0,,1.0,,2.02
Abrupt Drift,D3,1,98.0,0.0,0.0,0.06
Abrupt Drift,BNDM,5,272.0,0.0,4.0,12.4
Abrupt Drift,CSDDM,6,206.0,0.0,5.0,0.96
Abrupt Drift,IBDD,42,18.0,0.0,41.0,0.25
Abrupt Drift,OCDD,19,249.0,0.0,18.0,0.13
Abrupt Drift,SPLL,1,66.0,0.0,0.0,4.52
Abrupt Drift,UDetect,0,,1.0,,0.01
Gradual Drift,EADD,0,,1.0,,1.77
Gradual Drift,D3,0,,1.0,,0.06
Gradual Drift,BNDM,7,26.0,0.0,6.0,8.85
Gradual Drift,CSDDM,7,413.0,0.0,6.0,0.93
Gradual Drift,IBDD,49,153.0,0.0,48.0,0.26
Gradual Drift,OCDD,19,249.0,0.0,18.0,0.14
Gradual Drift,SPLL,0,,1.0,,4.86
Gradual Drift,UDetect,0,,1.0,,0.01
Incremental Drift,EADD,0,,1.0,,2.35
Incremental Drift,D3,0,,1.0,,0.06
Incremental Drift,BNDM,7,383.0,0.0,6.0,6.38
Incremental Drift,CSDDM,6,9.0,0.0,5.0,1.0
Incremental Drift,IBDD,48,156.0,0.0,47.0,0.25
Incremental Drift,OCDD,19,249.0,0.0,18.0,0.13
Incremental Drift,SPLL,0,,1.0,,5.07
Incremental Drift,UDetect,0,,1.0,,0.01
Recurring Drift,EADD,0,,1.0,,1.94
Recurring Drift,D3,3,157.0,0.0,0.0,0.05
Recurring Drift,BNDM,6,219.0,0.0,3.0,9.58
Recurring Drift,CSDDM,9,84.33333333333333,0.0,6.0,0.8
Recurring Drift,IBDD,52,11.333333333333334,0.0,49.0,0.26
Recurring Drift,OCDD,19,249.0,0.0,16.0,0.14
Recurring Drift,SPLL,3,72.33333333333333,0.0,0.0,5.13
Recurring Drift,UDetect,0,,1.0,,0.01
