dataset,detector,n_features,n_known_drifts,n_detections,time_s,mtd,mdr,mtr,mtfa
Electricity,EADD,8,0,39,8.78,,,,
Electricity,D3,8,0,37,0.1,,,,
Electricity,BNDM,8,0,40,0.07,,,,
Electricity,CSDDM,8,0,79,0.51,,,,
Electricity,IBDD,8,0,726,0.95,,,,
Electricity,OCDD,8,0,37,0.77,,,,
Electricity,SPLL,8,0,75,0.9,,,,
Electricity,UDetect,8,0,0,0.41,,,,
InsectsAbrupt,EADD,33,2,4,37.95,148.0,0.0,35.810810810810814,5300.0
InsectsAbrupt,D3,33,2,4,0.46,152.5,0.0,34.24918032786885,5223.0
InsectsAbrupt,BNDM,33,2,0,120.02,,,,
InsectsAbrupt,CSDDM,33,2,32,7.99,43.5,0.0,14.291716210860088,621.6896551724138
InsectsAbrupt,IBDD,33,2,72,1.13,28.0,0.0,9.985507246376812,279.59420289855075
InsectsAbrupt,OCDD,33,2,57,0.74,254.0,0.5,0.4921259842519685,250.0
InsectsAbrupt,SPLL,33,2,4,28.23,25.0,0.0,207.76,5194.0
InsectsAbrupt,UDetect,33,2,0,0.62,,,,
InsectsGradual,EADD,33,1,4,36.75,,1.0,,3516.6666666666665
InsectsGradual,D3,33,1,3,0.45,,1.0,,1606.5
InsectsGradual,BNDM,33,1,1,120.03,,1.0,,
InsectsGradual,CSDDM,33,1,23,8.97,143.0,0.0,5.3829503829503835,769.7619047619048
InsectsGradual,IBDD,33,1,59,1.09,88.0,0.0,3.817384370015949,335.9298245614035
InsectsGradual,OCDD,33,1,46,0.78,,1.0,,250.0
InsectsGradual,SPLL,33,1,4,27.91,39.0,0.0,28.5,1111.5
InsectsGradual,UDetect,33,1,0,0.63,,,,
InsectsIncrAbrupt,EADD,33,0,1,37.09,,,,
InsectsIncrAbrupt,D3,33,0,0,0.47,,,,
InsectsIncrAbrupt,BNDM,33,0,2,120.04,,,,
InsectsIncrAbrupt,CSDDM,33,0,15,10.38,,,,
InsectsIncrAbrupt,IBDD,33,0,94,1.11,,,,
InsectsIncrAbrupt,OCDD,33,0,79,0.61,,,,
InsectsIncrAbrupt,SPLL,33,0,0,28.85,,,,
InsectsIncrAbrupt,UDetect,33,0,0,0.62,,,,
InsectsIncremental,EADD,33,0,1,36.88,,,,
