stream,run,detector,false_alarms,time_s
Gaussian (i.i.d.),0,EADD-Full,0,6.358
Gaussian (i.i.d.),0,EADD-NoASPT,0,6.297
Gaussian (i.i.d.),0,D3,0,0.077
Gaussian (i.i.d.),1,EADD-Full,0,6.266
Gaussian (i.i.d.),1,EADD-NoASPT,0,6.263
Gaussian (i.i.d.),1,D3,0,0.077
Gaussian (i.i.d.),2,EADD-Full,0,6.263
Gaussian (i.i.d.),2,EADD-NoASPT,0,6.265
Gaussian (i.i.d.),2,D3,0,0.077
Autocorrelated,0,EADD-Full,0,6.255
Autocorrelated,0,EADD-NoASPT,0,6.259
Autocorrelated,0,D3,0,0.078
Autocorrelated,1,EADD-Full,0,6.255
Autocorrelated,1,EADD-NoASPT,0,6.264
Autocorrelated,1,D3,1,0.075
Autocorrelated,2,EADD-Full,0,6.257
Autocorrelated,2,EADD-NoASPT,0,6.265
Autocorrelated,2,D3,1,0.075
Heteroscedastic,0,EADD-Full,0,6.363
Heteroscedastic,0,EADD-NoASPT,0,6.253
Heteroscedastic,0,D3,0,0.078
Heteroscedastic,1,EADD-Full,0,6.253
Heteroscedastic,1,EADD-NoASPT,0,6.253
Heteroscedastic,1,D3,0,0.076
Heteroscedastic,2,EADD-Full,0,6.255
Heteroscedastic,2,EADD-NoASPT,0,6.251
Heteroscedastic,2,D3,0,0.077
Correlated,0,EADD-Full,0,6.263
Correlated,0,EADD-NoASPT,0,6.269
Correlated,0,D3,0,0.079
Correlated,1,EADD-Full,0,6.265
Correlated,1,EADD-NoASPT,0,6.339
Correlated,1,D3,0,0.078
Correlated,2,EADD-Full,0,6.28
Correlated,2,EADD-NoASPT,0,6.28
Correlated,2,D3,0,0.079
