rho,detector,detected,n_detections,first_detection,time_s
0.0,EADD-Full,1,1,4099.0,6.943
0.0,EADD-NoASPT,1,1,4099.0,6.693
0.0,D3,1,1,4117.0,0.067
0.5,EADD-Full,1,1,4099.0,7.009
0.5,EADD-NoASPT,1,1,4099.0,6.687
0.5,D3,1,1,4117.0,0.067
0.9,EADD-Full,1,1,4099.0,6.932
0.9,EADD-NoASPT,1,1,4099.0,6.671
0.9,D3,1,1,4117.0,0.066
0.0,EADD-Full(stable),0,0,,6.975
0.0,EADD-NoASPT(stable),0,0,,6.977
0.0,D3(stable),0,0,,0.069
0.5,EADD-Full(stable),0,0,,6.954
0.5,EADD-NoASPT(stable),0,0,,6.957
0.5,D3(stable),0,0,,0.069
0.9,EADD-Full(stable),0,0,,6.953
0.9,EADD-NoASPT(stable),0,0,,6.965
0.9,D3(stable),0,0,,0.069
