experiment,d,N,name,time_s,n_detections
vary_d,5,200,EADD-Full,4.863,1
vary_d,5,200,EADD-NoASPT,4.667,1
vary_d,5,200,D3,0.059,1
vary_d,10,200,EADD-Full,6.928,1
vary_d,10,200,EADD-NoASPT,6.679,1
vary_d,10,200,D3,0.068,1
vary_d,20,200,EADD-Full,10.763,1
vary_d,20,200,EADD-NoASPT,10.426,1
vary_d,20,200,D3,0.085,1
vary_d,50,200,EADD-Full,23.11,1
vary_d,50,200,EADD-NoASPT,22.637,1
vary_d,50,200,D3,0.142,1
vary_d,100,200,EADD-Full,43.494,1
vary_d,100,200,EADD-NoASPT,42.367,1
vary_d,100,200,D3,0.262,1
vary_N,10,100,EADD-Full,5.829,1
vary_N,10,100,EADD-NoASPT,5.616,1
vary_N,10,100,D3,0.114,1
vary_N,10,200,EADD-Full,6.912,1
vary_N,10,200,EADD-NoASPT,6.678,1
vary_N,10,200,D3,0.067,1
vary_N,10,500,EADD-Full,10.516,1
vary_N,10,500,EADD-NoASPT,10.226,1
vary_N,10,500,D3,0.037,1
vary_N,10,1000,EADD-Full,11.217,1
vary_N,10,1000,EADD-NoASPT,10.578,1
vary_N,10,1000,D3,0.031,2
